"date","close","volume","open","high","low"
"2017/05/22","20.0800","9139489.0000","20.1400","20.3400","20.0100"
"2017/05/19","20.0000","18927630.0000","20.4200","20.6400","19.9300"
"2017/05/18","20.2700","15969070.0000","19.8600","20.5800","19.8600"
"2017/05/17","19.9000","29178210.0000","20.5600","20.5900","19.6900"
"2017/05/16","20.7800","40885030.0000","20.5400","20.8800","20.1500"
"2017/05/15","20.7400","69730070.0000","19.5700","20.9500","19.4900"
"2017/05/12","19.1400","68855540.0000","18.4400","19.4800","18.1600"
"2017/05/11","18.0500","131646700.0000","17.9600","18.9000","17.5900"
"2017/05/10","22.9800","45283450.0000","23.1100","23.3200","22.8700"
"2017/05/09","23.3200","17895520.0000","22.7000","23.4400","22.6750"
"2017/05/08","22.4600","18078600.0000","23.1700","23.5700","22.2253"
"2017/05/05","23.1900","12810190.0000","23.0800","23.2500","22.5100"
"2017/05/04","22.5900","18985670.0000","22.1800","23.2200","21.9000"
"2017/05/03","21.8200","7043314.0000","21.8000","22.2100","21.6328"
"2017/05/02","21.9900","8123217.0000","22.3700","22.3700","21.7500"
"2017/05/01","22.2100","7946471.0000","22.6600","22.8400","22.1100"
"2017/04/28","22.5500","9022308.0000","22.0500","22.5900","22.0100"
"2017/04/27","22.0100","10750770.0000","21.5800","22.1200","21.5800"
"2017/04/26","21.5800","10004450.0000","21.2500","21.6500","21.0800"
"2017/04/25","21.3400","9582326.0000","21.0800","21.4000","20.5600"
"2017/04/24","21.2000","5924496.0000","21.2000","21.3000","21.0100"
"2017/04/21","20.9300","7740183.0000","21.3700","21.4900","20.7100"
"2017/04/20","21.1500","10015360.0000","20.6300","21.2600","20.6200"
"2017/04/19","20.6200","8731762.0000","20.5000","20.9100","20.4100"
"2017/04/18","20.5500","15956750.0000","19.8300","20.8900","19.7300"
"2017/04/17","19.9400","11704690.0000","20.0900","20.2100","19.8000"
"2017/04/13","20.1900","13591660.0000","20.2000","20.3700","19.8100"
"2017/04/12","20.2200","9342201.0000","20.7000","20.8300","20.1800"
"2017/04/11","20.7000","13304270.0000","21.0100","21.2000","20.3400"
"2017/04/10","20.9700","8611389.0000","21.0900","21.2700","20.7000"
"2017/04/07","20.8200","10570640.0000","20.6800","21.0800","20.6000"
"2017/04/06","20.5700","21910600.0000","20.7600","20.7600","20.0300"
"2017/04/05","20.7000","26052010.0000","22.1500","22.2200","20.6700"
"2017/04/04","22.1400","16304010.0000","22.2100","22.6700","21.8800"
"2017/04/03","22.3500","12507410.0000","22.7000","22.9000","22.1100"
"2017/03/31","22.5300","15059550.0000","22.0500","22.6200","22.0000"
"2017/03/30","22.2300","17078870.0000","22.5500","22.8500","22.0000"
"2017/03/29","22.5500","31436230.0000","21.7700","22.7100","21.3300"
"2017/03/28","22.2100","49742610.0000","23.3100","23.3600","22.1700"
"2017/03/27","23.8300","48321040.0000","23.0900","24.4000","22.5999"
"2017/03/24","22.7400","17245590.0000","23.0500","23.1000","22.3398"
"2017/03/23","23.1300","40538930.0000","22.6900","23.3000","22.2200"
"2017/03/22","21.8200","47375100.0000","20.6500","22.2500","20.5200"
"2017/03/21","20.3800","20001810.0000","20.0400","20.5400","19.5500"
"2017/03/20","19.9300","21011700.0000","19.9400","20.4300","19.7200"
"2017/03/17","19.5400","34180970.0000","19.8000","19.8500","18.9000"
"2017/03/16","19.8900","25564310.0000","20.6500","20.6900","19.7500"
"2017/03/15","20.7700","24971500.0000","20.0800","21.4000","20.0500"
"2017/03/14","20.5800","20000100.0000","20.9000","20.9800","20.1500"
"2017/03/13","21.0900","20563760.0000","22.0500","22.1500","20.9600"
"2017/03/10","22.0700","18300540.0000","23.3600","23.4000","22.0000"
"2017/03/09","22.7100","25768720.0000","23.1500","23.6800","22.5100"
"2017/03/08","22.8100","49784130.0000","22.0300","23.4300","21.3100"
"2017/03/07","21.4400","71810660.0000","22.2100","22.5000","20.6400"
"2017/03/06","23.7700","72804120.0000","28.1700","28.2500","23.7700"
"2017/03/03","27.0900","148099300.0000","26.3900","29.4400","26.0600"
"2017/03/02","24.4800","216978300.0000","24.0000","26.0500","23.5000"
